,,,,,,,,,,,,,,,,,,,f,,,,,,,,,,
Kyler Murray,Kareem Hunt,Josh Jacobs,Will Fuller V,Tyler Lockett,Deebo Samuel,Dan Arnold,Giovani Bernard,Chiefs ,109.0060846,41.1,19.2,6.1,12.5,56,12.2,7.7,20.6,24,199.4,,,,,,,,,Robby Anderson,13.4
Kyler Murray,Kareem Hunt,Giovani Bernard,Will Fuller V,Tyler Lockett,Tre'Quan Smith,Hunter Henry,Christian Kirk,Bills ,106.7030235,41.1,19.2,20.6,12.5,56,9.4,5.3,20.7,14,198.8,,,,,,,,,Brandin Cooks,13
Kyler Murray,Derrick Henry,Jamaal Williams,Tyreek Hill,Tyler Lockett,Tee Higgins,Taysom Hill,Larry Fitzgerald,Bills ,106.7832714,41.1,15.2,21.4,17.5,56,18.8,0.6,14.2,14,198.8,,,,,,,,,Calvin Ridley,19.9
Joe Burrow,Alvin Kamara,Derrick Henry,Odell Beckham Jr.,Tyler Boyd,Diontae Johnson,T.J. Hockenson,Jamaal Williams,Chiefs ,111.0181846,38.64,22.8,15.2,0,30.74,29,16.9,21.4,24,198.68,,,,,,,,,Chris Carson,5.1
Kyler Murray,Alvin Kamara,Jamaal Williams,DeAndre Hopkins,Terry McLaurin,Brandin Cooks,Will Dissly,Diontae Johnson,Bills ,103.7538267,41.1,22.8,21.4,28.3,22,13,5.8,29,14,197.4,,,,,,,,,Christian Kirk,20.7
Kyler Murray,Derrick Henry,Jamaal Williams,Tyler Lockett,CeeDee Lamb,Christian Kirk,Travis Kelce,Diontae Johnson,Browns ,107.337786,41.1,15.2,21.4,56,0.1,20.7,6.1,29,7,196.6,,,,,,,,,Justin Herbert,41.48
Kyler Murray,Alvin Kamara,Jamaal Williams,DeAndre Hopkins,Tyler Boyd,David Moore,Jonnu Smith,David Johnson,Chiefs ,109.6103374,41.1,22.8,21.4,28.3,30.74,8.8,1.9,17.4,24,196.44,,,,,,,,,Aaron Rodgers,27.32
Russell Wilson,Alvin Kamara,Jamaal Williams,Terry McLaurin,Tyler Lockett,Christian Kirk,Hunter Henry,Melvin Gordon III,Bengals ,107.2685633,35.92,22.8,21.4,22,56,20.7,5.3,14,-2,196.12,,,,,,,,,Deshaun Watson,27.16
Kyler Murray,Kareem Hunt,Clyde Edwards-Helaire,Terry McLaurin,Tyler Lockett,Tee Higgins,Dan Arnold,Julian Edelman,Bills ,113.2857817,41.1,19.2,13.3,22,56,18.8,7.7,2.3,14,194.4,,,,,,,,,Tyler Boyd,30.74
Russell Wilson,Kareem Hunt,Giovani Bernard,Tyreek Hill,Tyler Lockett,Chase Claypool,Robert Tonyan,Christian Kirk,WAS Football Team ,109.1638478,35.92,19.2,20.6,17.5,56,0.8,5.2,20.7,17,192.92,,,,,,,,,Darren Waller,17
Russell Wilson,Derrick Henry,Jamaal Williams,Tyreek Hill,Tyler Lockett,Christian Kirk,Jared Cook,Tim Patrick,Buccaneers ,108.6535412,35.92,15.2,21.4,17.5,56,20.7,12.2,7.4,6,192.32,,,,,,,,,DJ Moore,25.3
Tom Brady,Kareem Hunt,Jamaal Williams,Robby Anderson,Chris Godwin,Brandin Cooks,Darren Waller,Giovani Bernard,Chiefs ,110.7232181,39.86,19.2,21.4,13.4,23.8,13,17,20.6,24,192.26,,,,,,,,,David Johnson,17.4
Russell Wilson,Kareem Hunt,Jamaal Williams,Kenny Golladay,Tyler Lockett,Christian Kirk,Hunter Henry,Tim Patrick,Patriots ,110.2643622,35.92,19.2,21.4,20.4,56,20.7,5.3,7.4,4,190.32,,,,,,,,,D'Andre Swift,14.8
Tom Brady,Mike Davis,Jamaal Williams,Chris Godwin,Amari Cooper,Diontae Johnson,Darren Waller,Giovani Bernard,Bills ,108.0460849,39.86,8.6,21.4,23.8,15.5,29,17,20.6,14,189.76,,,,,,,,,Will Fuller V,12.5
Kyler Murray,Jamaal Williams,Jerick McKinnon,Tyreek Hill,Tyler Lockett,Robby Anderson,Hunter Henry,Christian Kirk,Bills ,112.7462426,41.1,21.4,-0.1,17.5,56,13.4,5.3,20.7,14,189.3,,,,,,,,,Russell Wilson,35.92
Russell Wilson,Derrick Henry,Jamaal Williams,Tyreek Hill,Tyler Lockett,Chase Claypool,Dan Arnold,Giovani Bernard,Bills ,111.6820203,35.92,15.2,21.4,17.5,56,0.8,7.7,20.6,14,189.12,,,,,,,,,Todd Gurley II,22.2
Kyler Murray,Mike Davis,Jamaal Williams,Will Fuller V,Tyler Lockett,Tee Higgins,Travis Kelce,Christian Kirk,Falcons ,109.6474848,41.1,8.6,21.4,12.5,56,18.8,6.1,20.7,2,187.2,,,,,,,,,Chase Claypool,0.8
Kyler Murray,Derrick Henry,Kareem Hunt,Amari Cooper,Christian Kirk,Cole Beasley,Greg Olsen,Jamaal Williams,Chiefs ,106.5722156,41.1,15.2,19.2,15.5,20.7,25.2,3.8,21.4,24,186.1,,,,,,,,,Tyreek Hill,17.5
Tom Brady,Derrick Henry,Jamaal Williams,Stefon Diggs,CeeDee Lamb,Diontae Johnson,Darren Waller,Scotty Miller,Chiefs ,108.4189306,39.86,15.2,21.4,10.8,0.1,29,17,25.9,24,183.26,,,,,,,,,Gabriel Davis,2.1
Russell Wilson,Jamaal Williams,James Conner,Tyler Lockett,Robby Anderson,Tre'Quan Smith,Travis Kelce,Christian Kirk,Chargers ,106.6764205,35.92,21.4,14.1,56,13.4,9.4,6.1,20.7,6,183.02,,,,,,,,,Tee Higgins,18.8
Kyler Murray,Jamaal Williams,Giovani Bernard,DeAndre Hopkins,Terry McLaurin,Chase Claypool,Greg Olsen,A.J. Brown,Bills ,109.0450307,41.1,21.4,20.6,28.3,22,0.8,3.8,30.3,14,182.3,,,,,,,,,Jets ,5
Kyler Murray,Mike Davis,Jamaal Williams,DK Metcalf,Chris Godwin,Christian Kirk,T.J. Hockenson,Giovani Bernard,Chiefs ,110.1201489,41.1,8.6,21.4,4.3,23.8,20.7,16.9,20.6,24,181.4,,,,,,,,,Josh Allen,20.38
Justin Herbert,Derrick Henry,Kareem Hunt,Kenny Golladay,DJ Chark Jr.,Diontae Johnson,Hunter Henry,Jamaal Williams,Chiefs ,114.4623925,41.48,15.2,19.2,20.4,3.6,29,5.3,21.4,24,179.58,,,,,,,,,Justin Jackson,10.5
Kyler Murray,Alvin Kamara,Derrick Henry,Terry McLaurin,Chris Godwin,Christian Kirk,Greg Olsen,Jamaal Williams,Browns ,111.217562,41.1,22.8,15.2,22,23.8,20.7,3.8,21.4,7,177.8,,,,,,,,,Ezekiel Elliott,6.1
Kyler Murray,Kareem Hunt,Giovani Bernard,Tyler Lockett,Christian Kirk,Tim Patrick,Travis Kelce,Jerick McKinnon,Chargers ,110.8625382,41.1,19.2,20.6,56,20.7,7.4,6.1,-0.1,6,177,,,,,,,,,Marquez Valdes-Scantling,0.9
Tom Brady,Mike Davis,Jamaal Williams,Chris Godwin,Tee Higgins,Tre'Quan Smith,Darren Waller,James Conner,Chiefs ,104.8779889,39.86,8.6,21.4,23.8,18.8,9.4,17,14.1,24,176.96,,,,,,,,,David Njoku,10
Kyler Murray,Jamaal Williams,James Conner,DeAndre Hopkins,DK Metcalf,Scotty Miller,T.J. Hockenson,David Johnson,Browns ,99.70018353,41.1,21.4,14.1,28.3,4.3,25.9,16.9,17.4,7,176.4,,,,,,,,,Jared Cook,12.2
Patrick Mahomes,Jamaal Williams,Jerick McKinnon,Tyreek Hill,Tyler Lockett,Tyler Boyd,T.J. Hockenson,Tim Patrick,Bills ,109.5877719,12,21.4,-0.1,17.5,56,30.74,16.9,7.4,14,175.84,,,,,,,,,Kenyan Drake,5.1
Russell Wilson,Derrick Henry,Jamaal Williams,Tyler Boyd,Chris Godwin,Christian Kirk,Greg Olsen,Jerick McKinnon,Chiefs ,108.3366624,35.92,15.2,21.4,30.74,23.8,20.7,3.8,-0.1,24,175.46,,,,,,,,,Joe Burrow,38.64
Tom Brady,Derrick Henry,Jamaal Williams,Kenny Golladay,Odell Beckham Jr.,Scotty Miller,Darren Waller,Giovani Bernard,Bills ,104.1569941,39.86,15.2,21.4,20.4,0,25.9,17,20.6,14,174.36,,,,,,,,,Clyde Edwards-Helaire,13.3
Russell Wilson,Jamaal Williams,Jerick McKinnon,Tyreek Hill,Will Fuller V,Tyler Lockett,Jonnu Smith,Christian Kirk,Browns ,110.8182032,35.92,21.4,-0.1,17.5,12.5,56,1.9,20.7,7,172.82,,,,,,,,,Antonio Gibson,21.8
